Code,Trophic
ACA_ALBI,Planktivores
ACA_AURA,Croppers
ACA_BLOC,Detritivores
ACA_DUSS,Detritivores
ACA_GRAM,Detritivores
ACA_LINE,Farmers
ACA_MATA,Planktivores
ACA_NANS,Croppers
ACA_NCUS,Croppers
ACA_NUDA,Croppers
ACA_OLIV,Detritivores
ACA_PYRO,Croppers
ACA_THOM,Planktivores
ACA_TRIO,Croppers
ACA_XANT,Detritivores
CTE_GROP,Detritivores
NAS_LITU,Croppers
NAS_TUBE,Croppers
NAS_UNIC,Croppers
PCT_HEPA,Planktivores
ZAN_CORN,Benthic foragers
ZEB_SCOP,Croppers
ZEB_VELI,Croppers
ACN_POLY,Omnivorous Pomacentridae
AMB_AURE,Planktivores
AMB_CURA,Omnivorous Pomacentridae
AMB_LEUC,Omnivorous Pomacentridae
AMP_AKIN,Omnivorous Pomacentridae
AMP_CHRY,Omnivorous Pomacentridae
AMP_CLAR,Omnivorous Pomacentridae
AMP_MELA,Omnivorous Pomacentridae
AMP_PERC,Omnivorous Pomacentridae
AMP_PERI,Omnivorous Pomacentridae
CHR_ALIS,Planktivores
CHR_AMBO,Planktivores
CHR_APES,Planktivores
CHR_CHRY,Planktivores
CHR_IOME,Planktivores
CHR_LEPI,Planktivores
CHR_LINE,Planktivores
CHR_MARG,Planktivores
CHR_NITI,Planktivores
CHR_RETR,Planktivores
CHR_TERN,Planktivores
CHR_VAND,Planktivores
CHR_WEBE,Planktivores
CHR_XANT,Planktivores
CHY_FLAV,Planktivores
CHY_REX,Omnivorous Pomacentridae
CHY_ROLL,Planktivores
CHY_TALB,Planktivores
DAS_ARUA,Planktivores
DAS_MELA,Planktivores
DAS_RETI,Planktivores
DAS_TRIM,Planktivores
DIS_MELA,Farmers
DIS_PERS,Farmers
DIS_PROS,Farmers
DIS_PSEU,Farmers
HGY_PLAG,Farmers
NEG_MELA,Omnivorous Pomacentridae
NEG_NIGR,Farmers
NEG_POLY,Planktivores
NEO_AZYS,Planktivores
NEO_BANK,Planktivores
NEO_CYAN,Planktivores
PCH_RICH,Planktivores
PGY_DICK,Farmers
PGY_JOHN,Farmers
PGY_LACR,Farmers
POM_ADEL,Farmers
POM_AMBO,Omnivorous Pomacentridae
POM_AUST,Omnivorous Pomacentridae
POM_BANK,Farmers
POM_BRAC,Omnivorous Pomacentridae
POM_CHRY,Farmers
POM_COEL,Planktivores
POM_GRAM,Farmers
POM_LEPI,Planktivores
POM_MOLU,Omnivorous Pomacentridae
POM_NAGA,Omnivorous Pomacentridae
POM_PHIL,Planktivores
POM_VAIU,Farmers
POM_WARD,Farmers
PRE_BIAC,Omnivorous Pomacentridae
STE_APIC,Farmers
STE_FASC,Farmers
STE_GASC,Farmers
STE_NIGR,Farmers
BOL_MURI,Excavators
CAL_CARO,Scrapers
CET_BICO,Excavators
CHS_BLEE,Excavators
CHS_FRON,Excavators
CHS_JAPA,Excavators
CHS_MICR,Excavators
CHS_SORD,Excavators
HIP_LONG,Excavators
SCA_ALTI,Scrapers
SCA_CHAM,Scrapers
SCA_DIMI,Scrapers
SCA_FLAV,Scrapers
SCA_FORS,Scrapers
SCA_FREN,Scrapers
SCA_GHOB,Scrapers
SCA_GLOB,Scrapers
SCA_LONG,Scrapers
SCA_NIGR,Scrapers
SCA_OVIC,Scrapers
SCA_PSIT,Scrapers
SCA_RIVU,Scrapers
SCA_RUBR,Scrapers
SCA_SCHL,Scrapers
SCA_SPIN,Scrapers
CHA_AFAS,Obligate corallivores
CHA_AURI,Benthic foragers
CHA_BARO,Obligate corallivores
CHA_BENN,Obligate corallivores
CHA_CITR,Benthic foragers
CHA_EPHI,Benthic foragers
CHA_FLAV,Benthic foragers
CHA_KLEI,Benthic foragers
CHA_LINE,Benthic foragers
CHA_LUNU,Benthic foragers
CHA_MELO,Benthic foragers
CHA_MERT,Benthic foragers
