Group,                     INLA.family,            INLA.link,   stan.family
Coral Trout Biomass,       zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log') 
Coral Trout,               zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log') 
Coral Trout Length,        gamma,                  log,         Gamma(link='log')
Secondary targets Biomass, zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log')
Secondary targets,         zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log') 
Secondary targets Length,  gamma,                  log,         Gamma(link='log')
Scrapers,                  zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log')
Croppers,                  zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log')
Farmers,                   zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log') 
Planktivores,              zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log') 
Detritivores,              zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log') 
Benthic foragers,          zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log') 
Excavators,                zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log') 
Obligate corallivores,     zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log') 
Omnivorous Pomacentridae,  zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log') 
Species Richness,          zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log') 
A,                         beta,                   logit,       Beta(link='logit')
HC,                        beta,                   logit,       Beta(link='logit')
SC,                        beta,                   logit,       Beta(link='logit')

large,                     zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log')
small,                     zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log') 
total,                     zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log') 
trout,                     zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log') 
herbivores,                zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log')
secondary_targets,         zeroinflatednbinomial1, log,         zero_inflated_negbinomial(link='log')
